month,region,region_code,claimant_count
December 2007,North West,E12000002,104020
December 2007,Yorkshire and The Humber,E12000003,74685
December 2007,East Midlands,E12000004,52145
December 2007,West Midlands,E12000005,94055
December 2007,East,E12000006,54825
December 2007,London,E12000007,131135
December 2007,South East,E12000008,64395
December 2007,South West,E12000009,37910
December 2007,Wales,W92000004,38615
December 2007,Scotland,S92000003,69165
January 2008,North East,E12000001,50360
January 2008,North West,E12000002,110250
January 2008,Yorkshire and The Humber,E12000003,79150
January 2008,East Midlands,E12000004,54645
January 2008,West Midlands,E12000005,97600
January 2008,East,E12000006,58155
January 2008,London,E12000007,131285
January 2008,South East,E12000008,68095
January 2008,South West,E12000009,41130
January 2008,Wales,W92000004,41355
January 2008,Scotland,S92000003,74410
February 2008,North East,E12000001,51365
February 2008,North West,E12000002,112475
February 2008,Yorkshire and The Humber,E12000003,81295
February 2008,East Midlands,E12000004,56080
February 2008,West Midlands,E12000005,99630
February 2008,East,E12000006,59515
February 2008,London,E12000007,132615
February 2008,South East,E12000008,69815
February 2008,South West,E12000009,42400
February 2008,Wales,W92000004,43000
February 2008,Scotland,S92000003,76110
March 2008,North East,E12000001,50910
March 2008,North West,E12000002,112120
March 2008,Yorkshire and The Humber,E12000003,80575
March 2008,East Midlands,E12000004,55950
March 2008,West Midlands,E12000005,99125
March 2008,East,E12000006,59090
March 2008,London,E12000007,131935
March 2008,South East,E12000008,69305
March 2008,South West,E12000009,41420
March 2008,Wales,W92000004,42615
March 2008,Scotland,S92000003,75250
April 2008,North East,E12000001,50285
April 2008,North West,E12000002,111860
April 2008,Yorkshire and The Humber,E12000003,80215
April 2008,East Midlands,E12000004,55970
April 2008,West Midlands,E12000005,98455
April 2008,East,E12000006,58600
April 2008,London,E12000007,130060
April 2008,South East,E12000008,69090
April 2008,South West,E12000009,40730
April 2008,Wales,W92000004,41530
April 2008,Scotland,S92000003,73630
May 2008,North East,E12000001,49785
May 2008,North West,E12000002,110910
May 2008,Yorkshire and The Humber,E12000003,80265
May 2008,East Midlands,E12000004,56065
May 2008,West Midlands,E12000005,98230
May 2008,East,E12000006,58535
May 2008,London,E12000007,130605
May 2008,South East,E12000008,68740
May 2008,South West,E12000009,40735
May 2008,Wales,W92000004,40935
May 2008,Scotland,S92000003,72385
June 2008,North East,E12000001,49290
June 2008,North West,E12000002,110770
June 2008,Yorkshire and The Humber,E12000003,80825
June 2008,East Midlands,E12000004,56280
June 2008,West Midlands,E12000005,98925
June 2008,East,E12000006,57990
June 2008,London,E12000007,131130
June 2008,South East,E12000008,69370
June 2008,South West,E12000009,40970
June 2008,Wales,W92000004,40585
June 2008,Scotland,S92000003,73820
July 2008,North East,E12000001,50690
July 2008,North West,E12000002,116195
July 2008,Yorkshire and The Humber,E12000003,84705
July 2008,East Midlands,E12000004,59035
July 2008,West Midlands,E12000005,102360
July 2008,East,E12000006,59795
July 2008,London,E12000007,133755
July 2008,South East,E12000008,72745
July 2008,South West,E12000009,43620
July 2008,Wales,W92000004,43095
July 2008,Scotland,S92000003,77895
August 2008,North East,E12000001,53435
August 2008,North West,E12000002,122065
August 2008,Yorkshire and The Humber,E12000003,90020
August 2008,East Midlands,E12000004,63110
August 2008,West Midlands,E12000005,108350
August 2008,East,E12000006,64055
August 2008,London,E12000007,138820
August 2008,South East,E12000008,78300
August 2008,South West,E12000009,48025
August 2008,Wales,W92000004,46075
August 2008,Scotland,S92000003,82425
September 2008,North East,E12000001,55300
September 2008,North West,E12000002,124990
September 2008,Yorkshire and The Humber,E12000003,92590
September 2008,East Midlands,E12000004,64715
September 2008,West Midlands,E12000005,110750
September 2008,East,E12000006,65550
September 2008,London,E12000007,142845
September 2008,South East,E12000008,80615
September 2008,South West,E12000009,49250
September 2008,Wales,W92000004,47085
September 2008,Scotland,S92000003,81245
October 2008,North East,E12000001,57340
October 2008,North West,E12000002,127640
October 2008,Yorkshire and The Humber,E12000003,95595
October 2008,East Midlands,E12000004,66125
October 2008,West Midlands,E12000005,112375
October 2008,East,E12000006,68110
October 2008,London,E12000007,144745
October 2008,South East,E12000008,83960
October 2008,South West,E12000009,52185
October 2008,Wales,W92000004,48405
October 2008,Scotland,S92000003,83420
November 2008,North East,E12000001,61815
November 2008,North West,E12000002,137635
November 2008,Yorkshire and The Humber,E12000003,103840
November 2008,East Midlands,E12000004,72725
November 2008,West Midlands,E12000005,121455
November 2008,East,E12000006,75170
November 2008,London,E12000007,151110
November 2008,South East,E12000008,94800
November 2008,South West,E12000009,59495
November 2008,Wales,W92000004,53945
November 2008,Scotland,S92000003,90490
December 2008,North East,E12000001,67580
December 2008,North West,E12000002,149440
December 2008,Yorkshire and The Humber,E12000003,114960
December 2008,East Midlands,E12000004,80285
December 2008,West Midlands,E12000005,132700
December 2008,East,E12000006,83370
December 2008,London,E12000007,160075
December 2008,South East,E12000008,104295
December 2008,South West,E12000009,66720
December 2008,Wales,W92000004,60370
December 2008,Scotland,S92000003,97725
January 2009,North East,E12000001,75660
January 2009,North West,E12000002,164995
January 2009,Yorkshire and The Humber,E12000003,126725
January 2009,East Midlands,E12000004,90250
January 2009,West Midlands,E12000005,146790
January 2009,East,E12000006,95385
January 2009,London,E12000007,169450
January 2009,South East,E12000008,119760
January 2009,South West,E12000009,76825
January 2009,Wales,W92000004,68320
January 2009,Scotland,S92000003,108905
February 2009,North East,E12000001,82790
February 2009,North West,E12000002,183695
February 2009,Yorkshire and The Humber,E12000003,143335
February 2009,East Midlands,E12000004,104705
February 2009,West Midlands,E12000005,166450
February 2009,East,E12000006,112555
February 2009,London,E12000007,190045
February 2009,South East,E12000008,142325
February 2009,South West,E12000009,91555
February 2009,Wales,W92000004,76835
February 2009,Scotland,S92000003,121930
March 2009,North East,E12000001,84345
March 2009,North West,E12000002,191145
March 2009,Yorkshire and The Humber,E12000003,148375
March 2009,East Midlands,E12000004,109115
March 2009,West Midlands,E12000005,173065
March 2009,East,E12000006,118440
March 2009,London,E12000007,202425
March 2009,South East,E12000008,149890
March 2009,South West,E12000009,96060
March 2009,Wales,W92000004,78885
March 2009,Scotland,S92000003,126450
April 2009,North East,E12000001,85435
April 2009,North West,E12000002,195120
April 2009,Yorkshire and The Humber,E12000003,152150
April 2009,East Midlands,E12000004,111960
April 2009,West Midlands,E12000005,178110
April 2009,East,E12000006,121245
April 2009,London,E12000007,209455
April 2009,South East,E12000008,153590
April 2009,South West,E12000009,97390
April 2009,Wales,W92000004,79475
April 2009,Scotland,S92000003,126825
May 2009,North East,E12000001,85595
May 2009,North West,E12000002,196110
May 2009,Yorkshire and The Humber,E12000003,153580
May 2009,East Midlands,E12000004,112185
May 2009,West Midlands,E12000005,177465
May 2009,East,E12000006,121075
May 2009,London,E12000007,214280
May 2009,South East,E12000008,154845
May 2009,South West,E12000009,96540
May 2009,Wales,W92000004,78145
May 2009,Scotland,S92000003,127095
June 2009,North East,E12000001,84485
June 2009,North West,E12000002,194335
June 2009,Yorkshire and The Humber,E12000003,152745
June 2009,East Midlands,E12000004,110280
June 2009,West Midlands,E12000005,176625
June 2009,East,E12000006,119010
June 2009,London,E12000007,214625
June 2009,South East,E12000008,152105
June 2009,South West,E12000009,94360
June 2009,Wales,W92000004,76980
June 2009,Scotland,S92000003,128565
July 2009,North East,E12000001,85040
July 2009,North West,E12000002,197595
July 2009,Yorkshire and The Humber,E12000003,153795
July 2009,East Midlands,E12000004,110940
July 2009,West Midlands,E12000005,177765
July 2009,East,E12000006,118830
July 2009,London,E12000007,219235
July 2009,South East,E12000008,153535
July 2009,South West,E12000009,94365
July 2009,Wales,W92000004,78045
July 2009,Scotland,S92000003,132570
August 2009,North East,E12000001,85375
August 2009,North West,E12000002,201170
August 2009,Yorkshire and The Humber,E12000003,156535
August 2009,East Midlands,E12000004,112640
August 2009,West Midlands,E12000005,181510
August 2009,East,E12000006,120795
August 2009,London,E12000007,224495
August 2009,South East,E12000008,156610
August 2009,South West,E12000009,94725
August 2009,Wales,W92000004,79435
August 2009,Scotland,S92000003,135385
September 2009,North East,E12000001,85075
September 2009,North West,E12000002,199745
September 2009,Yorkshire and The Humber,E12000003,155540
September 2009,East Midlands,E12000004,111735
September 2009,West Midlands,E12000005,182390
September 2009,East,E12000006,119165
September 2009,London,E12000007,227010
September 2009,South East,E12000008,155180
September 2009,South West,E12000009,93300
September 2009,Wales,W92000004,78910
September 2009,Scotland,S92000003,129570
October 2009,North East,E12000001,85230
October 2009,North West,E12000002,197340
