"DATE_NAME","GEOGRAPHY_NAME","ITEM_NAME","OBS_VALUE"
"2018","West Midlands","Median",535.5
"2018","West Midlands","10 percentile",320.0
"2018","West Midlands","25 percentile",391.6
"2018","West Midlands","75 percentile",753.9
"2018","West Midlands","90 percentile",1023.4
"2018","East","Median",589.4
"2018","East","10 percentile",336.7
"2018","East","25 percentile",430.1
"2018","East","75 percentile",839.3
"2018","East","90 percentile",1218.9
"2018","London","Median",670.8
"2018","London","10 percentile",375.7
"2018","London","25 percentile",489.0
"2018","London","75 percentile",973.5
"2018","London","90 percentile",1447.0
"2018","South East","Median",614.9
"2018","South East","10 percentile",345.0
"2018","South East","25 percentile",440.8
"2018","South East","75 percentile",879.7
"2018","South East","90 percentile",1278.2
"2018","South West","Median",537.6
"2018","South West","10 percentile",329.7
"2018","South West","25 percentile",402.5
"2018","South West","75 percentile",750.7
"2018","South West","90 percentile",1042.6
"2018","Wales","Median",518.5
"2018","Wales","10 percentile",318.9
"2018","Wales","25 percentile",383.3
"2018","Wales","75 percentile",721.3
"2018","Wales","90 percentile",934.3
"2018","Scotland","Median",562.7
"2018","Scotland","10 percentile",335.4
"2018","Scotland","25 percentile",413.5
"2018","Scotland","75 percentile",762.3
"2018","Scotland","90 percentile",1036.6
"2019","North East","Median",531.4
"2019","North East","10 percentile",333.3
"2019","North East","25 percentile",398.0
"2019","North East","75 percentile",735.3
"2019","North East","90 percentile",978.9
"2019","North West","Median",555.8
"2019","North West","10 percentile",335.6
"2019","North West","25 percentile",404.8
"2019","North West","75 percentile",766.6
"2019","North West","90 percentile",1037.5
"2019","Yorkshire and The Humber","Median",540.8
"2019","Yorkshire and The Humber","10 percentile",333.9
"2019","Yorkshire and The Humber","25 percentile",402.7
"2019","Yorkshire and The Humber","75 percentile",753.5
"2019","Yorkshire and The Humber","90 percentile",1004.5
"2019","East Midlands","Median",547.5
"2019","East Midlands","10 percentile",336.3
"2019","East Midlands","25 percentile",406.1
"2019","East Midlands","75 percentile",764.5
"2019","East Midlands","90 percentile",1042.1
"2019","West Midlands","Median",550.8
"2019","West Midlands","10 percentile",336.3
"2019","West Midlands","25 percentile",405.6
"2019","West Midlands","75 percentile",765.8
"2019","West Midlands","90 percentile",1048.3
"2019","East","Median",610.2
"2019","East","10 percentile",354.6
"2019","East","25 percentile",445.6
"2019","East","75 percentile",863.7
"2019","East","90 percentile",1225.9
"2019","London","Median",699.3
"2019","London","10 percentile",390.2
"2019","London","25 percentile",500.9
"2019","London","75 percentile",1001.9
"2019","London","90 percentile",1494.9
"2019","South East","Median",636.3
"2019","South East","10 percentile",360.6
"2019","South East","25 percentile",460.0
"2019","South East","75 percentile",901.9
"2019","South East","90 percentile",1328.1
"2019","South West","Median",560.9
"2019","South West","10 percentile",344.8
"2019","South West","25 percentile",418.8
"2019","South West","75 percentile",776.7
"2019","South West","90 percentile",1054.1
"2019","Wales","Median",540.0
"2019","Wales","10 percentile",338.3
"2019","Wales","25 percentile",406.9
"2019","Wales","75 percentile",750.3
"2019","Wales","90 percentile",974.8
"2019","Scotland","Median",578.3
"2019","Scotland","10 percentile",347.8
"2019","Scotland","25 percentile",428.5
"2019","Scotland","75 percentile",787.4
"2019","Scotland","90 percentile",1066.3
