"DATE_NAME","GEOGRAPHY_NAME","C_AGE_NAME","OBS_VALUE"
"2025","Scotland","Age 51",66698
"2025","Scotland","Age 52",69890
"2025","Scotland","Age 53",73609
"2025","Scotland","Age 54",77062
"2025","Scotland","Age 55",76766
"2025","Scotland","Age 56",79339
"2025","Scotland","Age 57",80438
"2025","Scotland","Age 58",80521
"2025","Scotland","Age 59",79857
"2025","Scotland","Age 60",82402
"2025","Scotland","Age 61",81670
"2025","Scotland","Age 62",80291
"2025","Scotland","Age 63",77239
"2025","Scotland","Age 64",74637
